customer_unique_id,total_pedidos,valor_total,primeiro_pedido,ultimo_pedido,tempo_vida_cliente,dias_sem_comprar,status_cliente,tipo_cliente
00172711b30d52eea8b313a7f2cced02,2,244.14,"2018-07-28 00:23:49","2018-08-13 09:14:07",16,2783,CHURN,RECORRENTE
004288347e5e88a27ded2bb23747066c,2,354.37,"2017-07-27 14:13:03","2018-01-14 07:36:54",171,2994,CHURN,RECORRENTE
004b45ec5c64187465168251cd1c9c2f,2,147.72,"2017-09-01 12:11:23","2018-05-26 19:42:48",267,2862,CHURN,RECORRENTE
0058f300f57d7b93c477a131a59b36c3,2,175.58,"2018-02-19 17:11:34","2018-03-22 18:09:41",31,2927,CHURN,RECORRENTE
00a39521eb40f7012db50455bf083460,2,123.25,"2018-05-23 20:14:21","2018-06-03 10:12:57",11,2854,CHURN,RECORRENTE
00cc12a6d8b578b8ebd21ea4e2ae8b27,2,126.20,"2017-03-21 19:25:22","2017-03-21 19:25:23",0,3293,CHURN,RECORRENTE
011575986092c30523ecb71ff10cb473,2,214.90,"2018-02-17 15:54:49","2018-04-18 21:58:08",60,2900,CHURN,RECORRENTE
011b4adcd54683b480c4d841250a987f,2,236.30,"2017-08-22 12:51:29","2018-02-15 11:40:57",177,2962,CHURN,RECORRENTE
012452d40dafae4df401bced74cdb490,2,495.33,"2017-06-18 22:46:42","2018-05-14 12:12:45",330,2874,CHURN,RECORRENTE
012a218df8995d3ec3bb221828360c86,2,1510.38,"2018-05-07 10:28:17","2018-06-18 13:08:38",42,2839,CHURN,RECORRENTE
013ef03e0f3f408dd9bf555e4edcdc0a,2,245.37,"2018-06-21 04:46:11","2018-07-20 04:13:54",29,2807,CHURN,RECORRENTE
013f4353d26bb05dc6652f1269458d8d,2,356.39,"2017-11-24 13:33:20","2017-11-28 13:30:58",4,3041,CHURN,RECORRENTE
015557c9912277312b9073947804a7ba,2,315.12,"2017-03-23 22:45:46","2017-05-01 14:48:33",39,3252,CHURN,RECORRENTE
0178b244a5c281fb2ade54038dd4b161,2,259.89,"2017-05-10 20:04:09","2018-07-28 13:13:00",444,2799,CHURN,RECORRENTE
01886ef98f995e4f2dd75a1d04c97397,2,75.31,"2017-11-27 20:47:54","2018-03-09 19:19:24",102,2940,CHURN,RECORRENTE
018b5a7502c30eb5f230f1b4eb23a156,2,110.18,"2017-05-18 00:41:32","2017-08-20 18:10:06",94,3141,CHURN,RECORRENTE
01a22e2079ea71e17313b88e5811e54a,2,165.34,"2018-01-22 22:45:49","2018-01-22 23:27:48",0,2986,CHURN,RECORRENTE
01c289bb06354cdc7e6549570f20ada4,2,242.50,"2017-06-03 19:11:14","2017-12-26 21:14:43",206,3013,CHURN,RECORRENTE
01ea7dfdac01a4e8fbe2902b73510b20,2,276.75,"2018-02-09 17:36:42","2018-02-09 17:36:45",0,2968,CHURN,RECORRENTE
01f2285f85a1c603eb7ef755ad311769,2,463.04,"2017-04-29 14:40:22","2018-05-31 14:51:03",397,2857,CHURN,RECORRENTE
02168ea18740a0fdaaa15f11bebba5db,2,264.04,"2017-08-20 20:58:18","2017-10-09 22:05:59",50,3091,CHURN,RECORRENTE
0241fa2e9adf0576cb0f845377d05c03,2,199.03,"2018-06-20 20:51:47","2018-07-24 21:24:13",34,2803,CHURN,RECORRENTE
027803eb28cc01fbdf5da72b109fabee,2,101.43,"2017-10-17 11:28:05","2017-10-17 11:28:18",0,3083,CHURN,RECORRENTE
029b457bd01199c39136f89e0eddcd3a,2,347.55,"2017-05-14 00:30:14","2018-01-04 19:21:49",235,3004,CHURN,RECORRENTE
02b20b7c813efede140142ac610e36dc,2,194.57,"2018-03-19 20:50:39","2018-03-19 20:50:39",0,2930,CHURN,RECORRENTE
