customer_unique_id,order_id,order_purchase_timestamp,compra_anterior,dias_entre_compras
00172711b30d52eea8b313a7f2cced02,c306eca42d32507b970739b5b6a5a33a,"2018-08-13 09:14:07","2018-07-28 00:23:49",16
004288347e5e88a27ded2bb23747066c,08204559bebd39e09ee52dcb56d8faa2,"2018-01-14 07:36:54","2017-07-27 14:13:03",171
004b45ec5c64187465168251cd1c9c2f,9392c5e72885ad5aba87e6223ca9838d,"2018-05-26 19:42:48","2017-09-01 12:11:23",267
0058f300f57d7b93c477a131a59b36c3,81a93b2fa39e104b865b2bc471c16008,"2018-03-22 18:09:41","2018-02-19 17:11:34",31
00a39521eb40f7012db50455bf083460,cea3e6c11eb60acb9d8d4d51694832f8,"2018-06-03 10:12:57","2018-05-23 20:14:21",11
00cc12a6d8b578b8ebd21ea4e2ae8b27,d61b915b69851aec8a8865f36cfd793e,"2017-03-21 19:25:23","2017-03-21 19:25:22",0
011575986092c30523ecb71ff10cb473,ed0a6265b5b0a292cd537214f401f1fc,"2018-04-18 21:58:08","2018-02-17 15:54:49",60
011b4adcd54683b480c4d841250a987f,93b35affb86435b71ca01a6dd1eab2b1,"2018-02-15 11:40:57","2017-08-22 12:51:29",177
012452d40dafae4df401bced74cdb490,e49d0607832db7c3b1343764225d8df6,"2018-05-14 12:12:45","2017-06-18 22:46:42",330
012a218df8995d3ec3bb221828360c86,207258d556f9b9784b54de837ae49286,"2018-06-18 13:08:38","2018-05-07 10:28:17",42
013ef03e0f3f408dd9bf555e4edcdc0a,00cee8a4dbb042385cbbd84699e78b2e,"2018-07-20 04:13:54","2018-06-21 04:46:11",29
013f4353d26bb05dc6652f1269458d8d,9eead354475b8b8fde3811f26b2599fc,"2017-11-28 13:30:58","2017-11-24 13:33:20",4
015557c9912277312b9073947804a7ba,48d9d778ca005971949d2ccad7e99d70,"2017-05-01 14:48:33","2017-03-23 22:45:46",39
0178b244a5c281fb2ade54038dd4b161,94ca38619d7e64f94facac403a99682d,"2018-07-28 13:13:00","2017-05-10 20:04:09",444
01886ef98f995e4f2dd75a1d04c97397,ce8d55aa1c206156fde37e062c716ea2,"2018-03-09 19:19:24","2017-11-27 20:47:54",102
018b5a7502c30eb5f230f1b4eb23a156,633bd8dd4d19125b69aeee2526f79779,"2017-08-20 18:10:06","2017-05-18 00:41:32",94
01a22e2079ea71e17313b88e5811e54a,7f40591eeef659da2bc93d2735fa9476,"2018-01-22 23:27:48","2018-01-22 22:45:49",0
01c289bb06354cdc7e6549570f20ada4,6e7e9fd0c7c9256e1119cbb95fd12bce,"2017-12-26 21:14:43","2017-06-03 19:11:14",206
